Total base items: 468
ID: asa | TR: Asa sınıf | EN: Physical status
ID: drug_dose_fentanyl | TR: Fentanil dozu nedir? | EN: What is the dose of Fentanyl?
ID: drug_dose_remifentanil | TR: Remifentanil dozu nedir? | EN: What is the dose of Remifentanil?
ID: drug_dose_morphine | TR: Morfin dozu nedir? | EN: What is the dose of Morphine?
ID: drug_dose_succinylcholine | TR: Süksinilkolin dozu nedir? | EN: What is the dose of Succinylcholine?
ID: drug_dose_rocuronium | TR: Roküronyum dozu nedir? | EN: What is the dose of Rocuronium?
ID: drug_dose_cisatracurium | TR: Sisatrakuryum dozu nedir? | EN: What is the dose of Cisatracurium?
ID: drug_dose_ephedrine | TR: Efedrin dozu nedir? | EN: What is the dose of Ephedrine?
ID: drug_dose_phenylephrine | TR: Fenilefrin dozu nedir? | EN: What is the dose of Phenylephrine?
ID: drug_dose_norepinephrine | TR: Noradrenalin dozu nedir? | EN: What is the dose of Norepinephrine?
ID: drug_dose_adrenaline | TR: Adrenalin dozu nedir? | EN: What is the dose of Epinephrine?
ID: drug_dose_sugammadex | TR: Sugammadeks dozu nedir? | EN: What is the dose of Sugammadex?
ID: drug_dose_neostigmine | TR: Neostigmin dozu nedir? | EN: What is the dose of Neostigmine?
ID: drug_dose_atropine | TR: Atropin dozu nedir? | EN: What is the dose of Atropine?
ID: drug_dose_glycopyrrolate | TR: Glikopirolat dozu nedir? | EN: What is the dose of Glycopyrrolate?
ID: drug_dose_dexmedetomidine | TR: Deksmedetomidin dozu nedir? | EN: What is the dose of Dexmedetomidine?
ID: drug_dose_sevoflurane | TR: Sevofluran dozu nedir? | EN: What is the dose of Sevoflurane?
ID: drug_dose_lidocaine | TR: Lidokain dozu nedir? | EN: What is the dose of Lidocaine?
ID: drug_dose_bupivacaine | TR: Bupivakain dozu nedir? | EN: What is the dose of Bupivacaine?
ID: drug_dose_ropivacaine | TR: Ropivakain dozu nedir? | EN: What is the dose of Ropivacaine?
ID: drug_dose_dantrolene | TR: Dantrolen dozu nedir? | EN: What is the dose of Dantrolene?
ID: drug_dose_lipid_emulsion | TR: %20 Lipid Emülsiyonu dozu nedir? | EN: What is the dose of 20% Lipid Emulsion?
ID: drug_dose_ondansetron | TR: Ondansetron dozu nedir? | EN: What is the dose of Ondansetron?
ID: drug_dose_dexamethasone | TR: Deksametazon dozu nedir? | EN: What is the dose of Dexamethasone?
ID: drug_dose_salbutamol | TR: Salbutamol dozu nedir? | EN: What is the dose of Albuterol / Salbutamol?
ID: drug_dose_magnesium_sulfate | TR: Magnezyum Sülfat dozu nedir? | EN: What is the dose of Magnesium Sulfate?
ID: drug_dose_tranexamic_acid | TR: Traneksamik Asit dozu nedir? | EN: What is the dose of Tranexamic Acid?
ID: drug_dose_calcium_gluconate | TR: Kalsiyum Glukonat / Kalsiyum Klorür dozu nedir? | EN: What is the dose of Calcium Gluconate / Calcium Chloride?
ID: drug_dose_sodium_bicarbonate | TR: Sodyum Bikarbonat dozu nedir? | EN: What is the dose of Sodium Bicarbonate?
ID: drug_dose_naloxone | TR: Nalokson dozu nedir? | EN: What is the dose of Naloxone?
ID: drug_dose_mivacurium | TR: Mivakuryum dozu nedir? | EN: What is the dose of Mivacurium?
ID: drug_dose_pancuronium | TR: Pankuronyum dozu nedir? | EN: What is the dose of Pancuronium?
ID: drug_dose_urapidil | TR: Urapidil dozu nedir? | EN: What is the dose of Urapidil?
ID: drug_dose_dextrose | TR: Dekstroz (Glukoz) dozu nedir? | EN: What is the dose of Dextrose (Glucose)?
ID: drug_dose_ampicillin_sulbactam | TR: Ampisilin-Sulbaktam dozu nedir? | EN: What is the dose of Ampicillin-Sulbactam?
ID: drug_dose_vancomycin | TR: Vankomisin dozu nedir? | EN: What is the dose of Vancomycin?
ID: drug_dose_clindamycin | TR: Klindamisin dozu nedir? | EN: What is the dose of Clindamycin?
ID: drug_dose_gentamicin | TR: Gentamisin dozu nedir? | EN: What is the dose of Gentamicin?
ID: drug_dose_metronidazole | TR: Metronidazol dozu nedir? | EN: What is the dose of Metronidazole?
ID: drug_dose_furosemide | TR: Furosemid dozu nedir? | EN: What is the dose of Furosemide?
ID: drug_dose_mannitol | TR: Mannitol dozu nedir? | EN: What is the dose of Mannitol?
ID: drug_dose_hypertonic_saline | TR: Hipertonik Salin dozu nedir? | EN: What is the dose of Hypertonic Saline (3% NaCl)?
ID: drug_dose_albumin | TR: Albumin (İnsan) dozu nedir? | EN: What is the dose of Albumin (Human)?
ID: drug_dose_thiopental | TR: Tiyopental dozu nedir? | EN: What is the dose of Thiopental?
ID: drug_dose_diazepam | TR: Diazepam dozu nedir? | EN: What is the dose of Diazepam?
ID: drug_dose_lorazepam | TR: Lorazepam dozu nedir? | EN: What is the dose of Lorazepam?
ID: drug_dose_desflurane | TR: Desfluran dozu nedir? | EN: What is the dose of Desflurane?
ID: drug_dose_isoflurane | TR: İzofluran dozu nedir? | EN: What is the dose of Isoflurane?
ID: drug_dose_nitrous_oxide | TR: Nitröz Oksit dozu nedir? | EN: What is the dose of Nitrous Oxide?
ID: drug_dose_alfentanil | TR: Alfentanil dozu nedir? | EN: What is the dose of Alfentanil?
ID: drug_dose_sufentanil | TR: Sufentanil dozu nedir? | EN: What is the dose of Sufentanil?
ID: drug_dose_tramadol | TR: Tramadol dozu nedir? | EN: What is the dose of Tramadol?
ID: drug_dose_meperidine | TR: Petidin (Meperidin) dozu nedir? | EN: What is the dose of Meperidine (Pethidine)?
ID: drug_dose_paracetamol | TR: Parasetamol dozu nedir? | EN: What is the dose of Paracetamol (Acetaminophen)?
ID: drug_dose_metamizole | TR: Metamizol (Novalgin) dozu nedir? | EN: What is the dose of Metamizole (Dipyrone)?
ID: drug_dose_dexketoprofen | TR: Deksketoprofen dozu nedir? | EN: What is the dose of Dexketoprofen?
ID: drug_dose_diclofenac | TR: Diklofenak dozu nedir? | EN: What is the dose of Diclofenac?
ID: drug_dose_ibuprofen | TR: İbuprofen dozu nedir? | EN: What is the dose of Ibuprofen?
ID: drug_dose_ketorolac | TR: Ketorolak dozu nedir? | EN: What is the dose of Ketorolac?
ID: drug_dose_vecuronium | TR: Veküronyum dozu nedir? | EN: What is the dose of Vecuronium?
ID: drug_dose_atracurium | TR: Atrakuryum dozu nedir? | EN: What is the dose of Atracurium?
ID: drug_dose_flumazenil | TR: Flumazenil dozu nedir? | EN: What is the dose of Flumazenil?
ID: drug_dose_ephedrine_systemic | TR: Ephedrine dozu nedir? | EN: What is the dose of Ephedrine?
ID: drug_dose_phenylephrine_systemic | TR: Phenylephrine dozu nedir? | EN: What is the dose of Phenylephrine?
ID: drug_dose_norepinephrine_noradrenaline | TR: Norepinephrine dozu nedir? | EN: What is the dose of Norepinephrine?
ID: drug_dose_epinephrine_adrenaline_systemic | TR: Epinephrine dozu nedir? | EN: What is the dose of Epinephrine?
ID: drug_dose_dobutamine | TR: Dobutamin dozu nedir? | EN: What is the dose of Dobutamine?
ID: drug_dose_dopamine | TR: Dopamin dozu nedir? | EN: What is the dose of Dopamine?
ID: drug_dose_vasopressin | TR: Vazopressin (Antidiüretik Hormon) dozu nedir? | EN: What is the dose of Vasopressin?
ID: drug_dose_nitroglycerin_glyceryl_trinitrate | TR: Nitroglycerin dozu nedir? | EN: What is the dose of Nitroglycerin?
ID: drug_dose_nitroprusside | TR: Sodyum Nitroprussid dozu nedir? | EN: What is the dose of Sodium Nitroprusside?
ID: drug_dose_amiodarone | TR: Amiodarone dozu nedir? | EN: What is the dose of Amiodarone?
ID: drug_dose_adenosine | TR: Adenozin dozu nedir? | EN: What is the dose of Adenosine?
ID: drug_dose_esmolol | TR: Esmolol dozu nedir? | EN: What is the dose of Esmolol?
ID: drug_dose_labetalol | TR: Labetalol dozu nedir? | EN: What is the dose of Labetalol?
ID: drug_dose_metoprolol | TR: Metoprolol dozu nedir? | EN: What is the dose of Metoprolol?
ID: drug_dose_hydralazine | TR: Hidralazin dozu nedir? | EN: What is the dose of Hydralazine?
ID: drug_dose_lidocaine_local_and_regional_anesthetic_and_systemic | TR: Lidocaine dozu nedir? | EN: What is the dose of Lidocaine?
ID: drug_dose_levobupivacaine | TR: Levobupivakain dozu nedir? | EN: What is the dose of Levobupivacaine?
ID: drug_dose_prilocaine | TR: Prilokain dozu nedir? | EN: What is the dose of Prilocaine?
ID: drug_dose_mepivacaine | TR: Mepivakain dozu nedir? | EN: What is the dose of Mepivacaine?
ID: drug_dose_chloroprocaine | TR: Kloroprokain dozu nedir? | EN: What is the dose of Chloroprocaine?
ID: drug_dose_articaine | TR: Artikain dozu nedir? | EN: What is the dose of Articaine?
ID: drug_dose_albuterol_salbutamol | TR: Albuterol dozu nedir? | EN: What is the dose of Albuterol?
ID: drug_dose_ipratropium | TR: İpratropiyum Bromür dozu nedir? | EN: What is the dose of Ipratropium Bromide?
ID: drug_dose_calcium_chloride | TR: Kalsiyum Klorür dozu nedir? | EN: What is the dose of Calcium Chloride?
ID: drug_dose_insulin_regular | TR: Regüler İnsülin (Kristalize) dozu nedir? | EN: What is the dose of Regular Insulin?
ID: drug_dose_glucagon | TR: Glukagon dozu nedir? | EN: What is the dose of Glucagon?
ID: drug_dose_hydrocortisone | TR: Hidrokortizon dozu nedir? | EN: What is the dose of Hydrocortisone?
ID: drug_dose_methylprednisolone | TR: Metilprednizolon dozu nedir? | EN: What is the dose of Methylprednisolone?
ID: drug_dose_dexamethasone_systemic | TR: Dexamethasone dozu nedir? | EN: What is the dose of Dexamethasone?
ID: drug_dose_chlorpheniramine | TR: Klorfeniramin dozu nedir? | EN: What is the dose of Chlorpheniramine?
ID: drug_dose_metoclopramide | TR: Metoklopramid dozu nedir? | EN: What is the dose of Metoclopramide?
ID: drug_dose_granisetron | TR: Granisetron dozu nedir? | EN: What is the dose of Granisetron?
ID: drug_dose_droperidol | TR: Droperidol dozu nedir? | EN: What is the dose of Droperidol?
ID: drug_dose_dimenhydrinate | TR: Dimenhidrinat (Dramamine) dozu nedir? | EN: What is the dose of Dimenhydrinate?
ID: drug_dose_scopolamine | TR: Skopolamin (Hiyosin) dozu nedir? | EN: What is the dose of Scopolamine (Hyoscine)?
ID: drug_dose_fibrinogen_concentrate | TR: Fibrinojen Konsantresi dozu nedir? | EN: What is the dose of Fibrinogen Concentrate?
ID: drug_dose_prothrombin_complex_concentrate | TR: Protrombin Kompleks Konsantresi (PCC) dozu nedir? | EN: What is the dose of Prothrombin Complex Concentrate?
ID: drug_dose_protamine | TR: Protamin Sülfat dozu nedir? | EN: What is the dose of Protamine Sulfate?
ID: drug_dose_heparin | TR: Heparin (Fraksiyone Olmayan) dozu nedir? | EN: What is the dose of Heparin (Unfractionated)?
ID: drug_dose_vitamin_k | TR: K Vitamini (Fitonadion) dozu nedir? | EN: What is the dose of Vitamin K1 (Phytonadione)?
ID: drug_dose_oxytocin | TR: Oksitosin dozu nedir? | EN: What is the dose of Oxytocin?
ID: drug_dose_methylergometrine | TR: Metilergometrin (Metilergonovin) dozu nedir? | EN: What is the dose of Methylergonovine (Methylergometrine)?
ID: drug_dose_carboprost | TR: Karboprost dozu nedir? | EN: What is the dose of Carboprost Tromethamine?
ID: drug_dose_misoprostol | TR: Misoprostol dozu nedir? | EN: What is the dose of Misoprostol?
ID: drug_dose_nifedipine | TR: Nifedipin dozu nedir? | EN: What is the dose of Nifedipine?
ID: drug_dose_terbutaline | TR: Terbutalin dozu nedir? | EN: What is the dose of Terbutaline?
ID: drug_dose_cefazolin | TR: Sefazolin dozu nedir? | EN: What is the dose of Cefazolin?
ID: drug_dose_cefuroxime | TR: Sefuroksim dozu nedir? | EN: What is the dose of Cefuroxime?
